376125,1.21,18-Dec,,Tennessee,Nashville
411662,0.45,18-Dec,,Texas,Austin
447573,4.7,18-Dec,,Texas,Dallas
246295,2.98,18-Dec,,Texas,Fort Worth
280186,1.36,18-Dec,,Texas,Houston
277990,-0.72,18-Dec,,Texas,Richmond
303709,6.32,18-Dec,,Utah,Provo
407101,-3.23,18-Dec,,Utah,Salt Lake City
340857,-2.52,18-Dec,,Vermont,Burlington
376025,-3.71,18-Dec,,Vermont,South Burlington
287714,-0.1,18-Dec,,Virginia,Richmond
331665,-1.38,18-Dec,,Virginia,Virginia Beach
330352,4.4,18-Dec,,Washington,Olympia
744196,-0.73,18-Dec,,Washington,Seattle
500000,14.94,18-Dec,,West Virgina,Springfield 
320115,1.7,18-Dec,,Wisconsin,Madison
134425,3.6,18-Dec,,Wisconsin,Milwaukee
214900,-5.54,18-Dec,,Wisconsin,New Richmond 
359450,1.6,18-Dec,,Alaska,Juneau
309000,-0.1,18-Dec,,Alaska,Anchorage
299900,-0.4,18-Dec,,Montana,Helena
250450,2.9,18-Dec,,Montana,Billings
244945,4.5,18-Dec,,North Dakota ,Fargo
274900,3.9,18-Dec,,North Dakota ,Bismarck
202500,2.8,18-Dec,,South Dakota,Rapid City
224900,4,18-Dec,,South Dakota,Sioux Falls
274000,4.4,18-Dec,,Wyoming,Cheyenne
992000,8.5,18-Dec,,Wyoming,Jackson
219000,3.4,18-Dec,,Florida,Tallahassee
134900,-0.7,18-Dec,,Alabama ,Montgomery
159900,1.4,18-Dec,,Kentucky,Frankfort
189900,12.9,18-Dec,,Maine,Augusta
389000,6.5,18-Dec,,Maine,Portland
287000,7.1,18-Dec,,Maine,South Portland
117518,5.5,18-Dec,,Mississippi,Jackson
181600,4.9,18-Dec,,Mississippi,Memphis
244900,3.1,18-Dec,,Nebraska,Lincoln
220000,4.3,18-Dec,,New Mexico,Albuquerque
115000,0.5,18-Dec,,Illinois,Springfield
169000,3.2,18-Dec,,West Virginia ,Charleston
149800,9.5,18-Dec,,Pennsylvania,Pittsburgh
107998,2.5,18-Dec,,Kansas,Topeka
224900,3.1,18-Dec,,Louisiana,Baton Rouge
89100,5.9,18-Dec,,Michigan,Lansing
178000,4.2,18-Dec,,Missouri,Jefferson City
349925,7.5,18-Dec,,Nevada,Carson City
250000,6.3,18-Dec,,New Hampshire,Concord
136900,3.9,18-Dec,,North Carolina,Columbia
